Top words,frequency,Top hashtags,frequency
$cei,103,#paytience,2
carbon,46,#cleanenergy,1
get,28,#goblingang,1
capture,26,#btc,1
guys,21,#eth,1
needs,20,#fintech,1
thereâ€™s,19,#nft,1
chit,19,#squidgames,1
ton,19,#oilandgas,1
done,19,#flobountyhunters,1
utilizing,19,#fukkettgang,1
patented,19,#bullsonparade,1
wake,19,#sleptemberisover,1
sorry,19,#stocksinfocus,1
$amc,12,#stockstowatch,1
going,9,#stocks,1
$gme,9,,
itâ€™s,8,,
people,8,,
then,7,,
still,7,,
$aapl,7,,
oil,6,,
next,6,,
$tsla,6,,
see,5,,
many,5,,
$dats,5,,
shorts,5,,
look,4,,
zack,4,,
made,4,,
donâ€™t,4,,
big,4,,
gonna,4,,
$10,4,,
make,4,,
$spy,4,,
early,4,,
$amzn,4,,
